time,x,xhat,dx
1317251205,797.66,679.595432865,-4.48608817374
1317251506,563.889,669.548327456,-4.76413903547
1317251806,640.314,663.560679,-4.82531450652
1317252106,573.379,654.467546269,-5.03870541776
1317252405,504.946,642.204698808,-5.39991251988
1317252706,508.443,630.386696974,-5.7208169856
1317253005,544.408,620.652985989,-5.92146168558
1317253305,1023.94,635.191948088,-4.89844049633
1317253604,817.141,639.635882212,-4.43132176531
1317253905,1015.45,654.216832425,-3.48070816643
1317254205,762.694,656.334018045,-3.20081347708
1317254504,724.731,656.71309434,-3.0218189885
1317254804,944.517,668.232561584,-2.29475467688
1317255105,1874.61,726.371416562,0.726925805857
1317255405,1876.61,784.573925249,3.60070494994
1317255706,1874.11,842.471398689,6.31554337444
1317256004,1827.15,897.70509496,8.76145101928
1317256305,1690.29,945.657718681,10.7210096543
1317256605,1875.11,1002.31529192,13.0178378335
1317256904,1874.61,1058.29697326,15.1660300091
1317257205,1874.61,1113.52035311,17.1688975009
1317257504,1665.31,1157.42028808,18.5054493744
1317257805,1876.11,1210.93495058,20.2559100308
1317258104,1756.72,1257.46731758,21.5697328792
1317258404,1696.78,1299.92419794,22.6140902531
1317258704,1658.32,1339.32737378,23.4535445326
1317259004,1491.48,1369.2158724,23.7752922368
1317259304,1426.55,1394.6691064,23.8591893252
1317259605,1404.57,1417.83038094,23.8242935859
1317259904,1363.11,1437.7274408,23.6279318996
1317260204,1304.17,1453.49610407,23.2349684678
1317260505,1201.27,1462.95801891,22.5463157865
1317260803,1114.35,1466.94661796,21.6184299498
1317261105,1097.87,1469.03029551,20.64169233
1317261404,1019.94,1466.18538845,19.4673623604
1317261710,1032.93,1463.01661327,18.3355554834
1317262002,1010.45,1457.80706032,17.1583000615
1317262305,972.989,1449.86654236,15.9033591605
1317262604,934.526,1439.20770644,14.5752494067
1317262904,952.509,1428.71925806,13.3220645171
1317263204,932.528,1416.56565645,12.0482812107
1317263503,954.007,1404.88359077,10.8617638665
1317263804,867.592,1388.33768691,9.49138047992
1317264102,902.558,1373.06551402,8.25320281145
1317264404,860.599,1355.28273099,6.95140351937
1317264705,735.221,1330.88347778,5.3838706831
1317265004,1130.33,1325.97048104,4.86902731193
1317265303,1225.74,1325.58453294,4.60627854105
1317265603,1146.32,1320.9972709,4.14660151235
